,Gender,MaritalStatus,Travelling,Role,OverTime,Qualifications,Satisfaction,Engagement,Level,Work Experience,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,Age,Daily,Monthly,MonthlyRate,SalaryHike,DistanceFromHome,Turnover
11,0,2,1,4,0,3,1,2,3,1,2,1,1,-1.0573552853286072,1.257553875028641,0.5675157779886372,0.8030763414486273,-0.8181747990681216,-0.8925587108399401,0
12,1,2,2,7,1,3,2,3,3,0,0,0,0,-0.5321078301268457,-0.4811196932633935,0.33753003198987785,1.6559413541737151,-1.0802046366781737,0.08851339304618913,1
13,0,1,2,6,1,3,4,3,1,2,5,0,0,0.41333758923632485,0.06558872969483055,-0.6061509054838808,-0.11366637787140596,-0.2941151238480177,1.3148535229038507,1
14,0,0,0,6,0,1,1,3,1,0,5,0,0,-0.637157321167198,0.29788114975004165,-0.3541783665089288,0.07880356776401863,1.2780639018122941,1.3148535229038507,1
15,0,2,2,6,1,4,4,3,1,3,4,2,2,-0.1119098659654366,-1.459563523192919,-0.6092640797105984,-0.6207828433282203,-1.0802046366781737,-0.034120619939577025,1
16,0,2,2,5,0,3,1,3,4,1,2,1,1,1.4638324996398477,-0.6922946205863126,2.470638097458912,1.1188386290708021,-0.2941151238480177,0.08851339304618913,0
17,1,0,1,3,0,4,4,3,5,4,2,1,1,0.5183870802766771,0.6310682573039808,2.3262646426948854,-1.462908590970752,-0.5561449614580697,1.4374875358896169,0
18,1,0,2,6,0,3,3,3,1,1,3,1,0,-0.7422068122075504,0.18525452184448474,-0.7542212546421345,-1.2078161775162652,-0.0320852862379657,-0.769924697854174,0
19,0,0,2,0,1,3,3,2,2,1,3,0,0,-0.32200884804614116,0.5630230029443735,-0.10998876310077062,-0.0295653798872313,1.0160340642022423,1.0695854969323184,0
20,0,0,2,0,0,3,2,3,2,2,4,0,0,0.3082880981959725,1.083921157007574,2.292408872979332,-0.31059939470997083,-0.2941151238480177,-0.8925587108399401,0
21,0,2,2,8,0,2,1,1,1,1,3,1,1,0.9385850444380863,0.5043633009102293,-0.8273808489699971,-0.8453311132362157,-0.0320852862379657,-0.6472906848684078,0
22,1,0,2,7,0,3,2,1,2,5,0,2,0,0.5183870802766771,0.6850351831753935,-0.488823151814463,-1.4700216107007567,0.22994455137208628,0.08851339304618913,0
23,0,1,0,7,0,2,3,3,2,0,4,0,0,0.7284860623573817,-0.7274904418067992,-0.43784492385196305,-0.01394463067624032,1.5400937394223462,-0.8925587108399401,0
24,1,2,2,6,1,3,1,4,1,3,3,0,0,-0.8472563032479026,-0.5350866191348062,-0.6707492706882701,0.7602587520935001,-0.2941151238480177,-1.0151927238257064,1
25,0,1,2,6,1,1,3,3,1,1,5,1,1,-1.5826027405303686,1.1472736352044497,-0.749746066691228,1.289690573566016,0.7540042265921902,0.08851339304618913,1
26,1,0,1,0,0,4,4,3,2,7,2,7,1,-0.32200884804614116,-1.5041448967388686,-0.24190952095792698,-0.9956808243920038,-0.2941151238480177,1.6827555618611492,0
27,1,1,1,0,0,4,2,2,2,0,1,0,0,0.20323860715562025,-1.3047019098227781,-0.3979573790721444,-0.6358457086388187,0.7540042265921902,1.9280235878326815,1
28,0,0,2,7,0,2,2,4,4,1,2,1,1,0.3082880981959725,-1.1779969534290267,0.664413325795221,0.4894061184529244,-1.0802046366781737,0.824317470960786,0
29,1,2,2,7,1,2,3,3,3,3,3,0,0,1.3587830085994954,1.7057139985695027,0.9560788361608219,-1.7150721139481777,1.0160340642022423,-0.15675463292534317,1
30,1,1,2,7,0,3,4,2,3,3,4,3,3,-0.7422068122075504,1.3232527413068824,0.3943454616274732,1.0486847285964407,-1.0802046366781737,-0.8925587108399401,1
31,0,2,0,7,1,3,2,3,3,8,2,0,0,1.9890799548416092,1.2950960843304933,2.445148983477662,1.004054016565038,0.22994455137208628,1.1922195099180846,0
32,1,1,0,2,1,4,3,3,1,2,3,2,0,1.4638324996398477,-1.4572171351115533,-0.9137714337614092,0.38842913248187555,1.0160340642022423,-0.5246566718826416,0
33,0,1,2,8,0,3,3,2,1,1,3,1,1,0.5183870802766771,-0.2957550348354978,-0.7631716305439475,0.0596960441755743,-0.5561449614580697,-0.27938864591110935,0
34,0,2,0,4,0,2,4,3,2,8,4,7,0,-0.1119098659654366,-0.2957550348354978,-0.44640615297543634,1.1926187748977148,-0.5561449614580697,-0.6472906848684078,0
35,0,2,2,4,0,3,3,2,3,0,2,0,0,0.09818911611526797,-1.2507349839513655,-0.2436606814604556,1.2820196699356186,-0.5561449614580697,2.1732916138042135,0
36,0,1,2,4,0,3,1,3,3,0,2,0,0,-0.4270583390864935,0.07262789393892785,1.2559164288715563,-0.19665160805479553,-0.5561449614580697,-0.27938864591110935,0
37,1,1,2,0,0,2,4,3,3,7,2,1,0,1.1486840265187908,-0.6101710377385108,-0.25183276380558917,1.2722567016787492,1.2780639018122941,-0.27938864591110935,0
38,1,0,1,4,0,4,3,4,2,1,0,1,1,0.833535553397734,-0.8448098458750876,-0.4948549268787283,-0.34421189970862104,-0.2941151238480177,0.4564154320034876,0
39,1,0,2,3,0,3,2,1,2,2,2,2,1,1.253733517559143,-0.1760892426858436,1.8266001793067181,0.3955421522118804,0.49197438898213824,0.7016834579750199,0
40,1,1,2,7,1,3,2,3,2,2,2,2,1,-0.2169593570057889,-0.5397793952975377,-0.5148959859632225,-0.14211845679142524,-0.5561449614580697,-0.6472906848684078,0
41,0,1,2,0,0,3,1,4,2,0,2,0,0,-0.32200884804614116,-1.529955165633892,-0.42578137372343255,0.016320570920054706,-1.0802046366781737,-0.769924697854174,0
42,0,0,1,4,0,2,3,2,2,2,1,2,0,-0.32200884804614116,-0.16435730227901477,-0.5304618570968103,-0.43389173669672104,2.0641534146424503,-1.0151927238257064,0
43,0,1,1,7,0,4,4,3,4,1,3,1,0,1.9890799548416092,-0.3403364083814474,2.11651452916979,-1.7150721139481777,1.8021235770323982,1.0695854969323184,0
44,0,1,0,2,0,3,4,3,1,1,2,1,0,-1.2674542674093117,0.38469750876057507,-0.8310777433642241,-0.2748948250848486,0.22994455137208628,2.1732916138042135,0
45,0,1,2,3,0,4,3,3,4,4,1,4,4,1.3587830085994954,-1.3985574330774089,2.522589192367261,1.7284662612247448,-1.0802046366781737,-0.15675463292534317,0
46,0,0,2,2,0,4,3,3,2,1,2,1,1,-0.006860374925084314,1.2293972180522517,-0.34892488500134294,-1.1573276845307408,-0.0320852862379657,1.4374875358896169,0
47,0,1,2,0,0,4,3,3,2,1,2,1,1,-0.5321078301268457,0.3377697471332597,0.1417892024850116,1.6796514199403978,0.49197438898213824,-0.27938864591110935,0
48,0,2,0,2,0,2,3,2,1,1,2,1,1,-0.006860374925084314,-1.5346479417966234,-0.8495622153353597,-1.3166035380928096,-0.0320852862379657,-0.769924697854174,1
49,1,1,1,6,0,2,4,4,1,2,3,0,0,0.41333758923632485,0.27441726893638396,-0.7092748017438999,-0.6228749079546924,-0.8181747990681216,-0.769924697854174,0
50,1,0,1,6,0,4,1,2,2,4,3,2,0,-1.687652231570721,-0.2582128255336455,-0.3393907889320204,0.6875943740673724,1.8021235770323982,-1.0151927238257064,0
51,0,2,0,2,0,4,1,4,1,1,2,1,1,1.7789809727609045,-0.729836829888165,-0.8518970960053978,-0.0853537699264848,-0.2941151238480177,-1.0151927238257064,1
52,0,1,2,3,1,3,1,3,4,4,2,3,2,-0.637157321167198,-0.3825713938460312,1.5065269541223194,0.1485390553130855,-1.0802046366781737,-0.5246566718826416,0
53,0,0,1,6,0,4,4,3,1,8,5,2,0,-0.637157321167198,-0.5937463211689504,-0.8466436144978119,-1.333618997054782,0.49197438898213824,-1.0151927238257064,1
54,0,0,2,0,0,5,2,3,1,0,2,0,0,0.9385850444380863,-1.2483885958699998,-0.8221273674624112,1.1617956894010273,-0.8181747990681216,0.4564154320034876,0
55,0,2,2,7,1,2,1,3,3,0,6,0,0,-0.5321078301268457,-0.15497174995355167,2.522589192367261,-0.06317788488588154,-1.0802046366781737,-0.5246566718826416,0
56,1,1,0,7,0,4,4,3,2,2,5,2,0,-1.372503758449664,0.9102884389865071,-0.47695417507510235,-1.7138168751722946,0.22994455137208628,1.560121548875383,0
57,0,2,2,4,1,3,3,3,2,3,3,3,3,1.1486840265187908,1.2950960843304933,-0.3026164183789193,-1.4288776730468074,-1.0802046366781737,-0.8925587108399401,0
58,1,1,2,3,1,1,4,3,5,2,3,2,2,0.41333758923632485,-1.0395600566284464,1.282962129966165,0.6285981516008619,-0.2941151238480177,1.560121548875383,0
59,1,0,2,2,0,2,3,4,2,5,0,0,0,-0.7422068122075504,-1.520569613308429,-0.8406118394335467,-0.23765607473364686,-0.8181747990681216,-1.0151927238257064,0
60,0,1,2,5,1,3,3,2,3,1,2,1,1,0.833535553397734,-0.8940839955837687,0.7963340836523775,-0.7682036640069477,2.588213089862554,0.4564154320034876,0
61,0,1,0,4,0,3,4,3,2,1,2,1,0,-0.5321078301268457,-0.7579934868645541,-0.3187660096800166,1.2265102218465613,-0.5561449614580697,1.9280235878326815,0
62,0,2,2,8,1,5,3,3,1,1,2,1,1,-2.002800704691778,1.7174459389763315,-0.3644907561349307,1.7284662612247448,-0.8181747990681216,-0.034120619939577025,0
63,0,1,2,0,0,2,3,3,3,2,2,2,2,0.3082880981959725,-1.0982197586625906,0.2102790354727978,0.6405926554593014,0.22994455137208628,1.4374875358896169,0
64,0,1,0,1,0,4,4,4,2,1,3,1,0,-0.637157321167198,-0.6054782615757792,-0.36604734324828947,0.17768848910859547,0.49197438898213824,0.7016834579750199,0
65,0,2,2,0,0,3,1,2,2,3,0,2,2,-1.4775532494900163,-0.047037898210726334,-0.43434260284690585,1.7234453061212118,-0.5561449614580697,2.29592562678998,0
66,1,2,2,3,1,4,4,3,5,2,4,2,2,1.1486840265187908,-0.48346608134475927,2.497683798553521,0.403491997792474,-0.5561449614580697,-0.8925587108399401,0
67,1,1,1,2,0,4,1,4,4,2,2,2,2,1.253733517559143,1.0205686788106982,-0.642925276036982,-0.3506275645631352,-0.8181747990681216,2.29592562678998,0
68,0,2,0,6,0,2,3,2,1,0,3,0,0,-1.1624047763689596,1.3561021744460031,-0.4829859501393676,-0.9397529633776522,1.5400937394223462,-1.0151927238257064,1
69,0,2,0,2,0,3,4,3,1,1,4,1,1,-1.372503758449664,-0.7181048894813361,-0.7528592409179456,-0.05397280052940471,0.7540042265921902,-1.0151927238257064,0
70,0,0,0,4,1,2,2,2,2,2,0,2,0,0.833535553397734,-1.356322447612825,-0.46469605155740196,-0.7252466036767224,1.8021235770323982,-1.0151927238257064,0
71,1,2,2,7,0,3,1,3,2,1,3,1,1,-0.4270583390864935,1.1543127994485471,-0.41469069054075125,0.41757856627738554,-0.5561449614580697,-0.8925587108399401,0
72,0,2,1,2,0,3,4,2,1,3,2,3,0,-0.637157321167198,-0.8096140246546011,-0.7209492050940907,1.6226077911252612,-0.8181747990681216,-0.5246566718826416,0
73,1,2,2,0,0,4,3,3,2,7,3,0,0,1.3587830085994954,0.11486287940351168,-0.397179085515465,1.1629114572018122,2.588213089862554,-0.8925587108399401,0
74,1,0,2,6,0,3,3,2,2,6,0,1,1,-0.32200884804614116,1.3255991293882483,-0.23976921367705867,-0.6354272957135243,-1.0802046366781737,-0.15675463292534317,0
75,1,1,2,2,0,1,4,3,1,3,3,2,0,0.7284860623573817,-1.3985574330774089,-0.8878931730018196,0.2013985548752782,-0.2941151238480177,-1.0151927238257064,0
76,1,0,1,4,0,2,3,3,2,1,0,1,1,1.8840304638012568,-1.1428011322085403,-0.48785028486861376,-0.9789443073802278,1.5400937394223462,1.1922195099180846,0
77,0,2,2,2,0,3,3,3,1,1,3,1,1,-0.006860374925084314,-0.3614539011137393,-0.9087125256429932,-0.7352885138837881,-0.2941151238480177,1.8053895748469153,0
78,0,1,2,7,0,2,4,3,4,7,4,7,7,-0.4270583390864935,-0.5749752165180242,2.547494586181002,1.1403171592359147,2.0641534146424503,-0.5246566718826416,0
79,0,0,2,4,0,4,1,3,2,3,1,3,0,-0.8472563032479026,1.0886139331703055,-1.0202030776373157,1.542133038493638,-1.0802046366781737,1.3148535229038507,0
80,0,1,2,6,0,1,3,3,1,5,3,2,1,-1.0573552853286072,1.1871622325876678,-0.7600584563172299,0.5616520835537577,-1.0802046366781737,-0.4020226588968755,0
81,0,2,0,7,0,2,1,3,2,0,6,0,0,1.253733517559143,0.14771231254263245,-0.4304511350635089,-0.56624969206485,-0.5561449614580697,-0.8925587108399401,0
82,0,1,2,4,0,3,2,3,1,0,2,0,0,-0.1119098659654366,1.5790090421757512,-0.8913954940068768,-1.0333379876685,-0.5561449614580697,2.1732916138042135,0
83,1,0,2,2,1,1,3,1,1,0,6,0,0,-1.0573552853286072,0.6709568546871988,-0.6275539782925641,1.7234453061212118,2.0641534146424503,-0.8925587108399401,0
84,0,2,2,4,0,4,2,2,2,1,5,1,0,0.833535553397734,1.3021352485745905,0.025823462539782693,0.32552772271261726,-1.0802046366781737,-0.8925587108399401,0
85,0,1,0,7,0,1,3,3,2,1,3,1,1,-0.32200884804614116,-1.5346479417966234,-0.13333756980115227,-0.08716689260276055,-0.0320852862379657,1.3148535229038507,0
86,0,1,2,8,1,1,3,3,1,3,2,0,0,-0.637157321167198,-1.2929699694159493,-0.6981841185612185,0.07629309021225222,2.0641534146424503,0.9469514839465522,1
87,0,2,0,6,1,4,3,2,1,1,2,0,0,-1.372503758449664,-0.7016801729117758,-0.79819484059452,1.7284662612247448,2.0641534146424503,0.7016834579750199,1
88,0,1,2,1,1,3,2,3,2,1,4,1,1,-1.2674542674093117,1.1590055756112787,-0.4870719913119344,1.2339021835267625,-1.0802046366781737,-1.0151927238257064,0
89,0,1,2,7,1,3,3,3,2,3,1,3,1,-0.637157321167198,-0.10100482408213901,-0.1512383216047782,-1.308653692512216,-1.0802046366781737,-0.769924697854174,0
90,0,1,2,8,1,3,3,4,1,1,2,0,0,-0.9523057942882549,-0.6641379636099234,-0.8380823853743387,1.6645885546297994,2.588213089862554,-0.8925587108399401,0
91,0,1,2,0,0,4,4,3,2,1,3,1,0,0.20323860715562025,0.7390021090468061,-0.2782947447326884,0.38201346762736144,-0.5561449614580697,2.418559639775746,0
92,1,1,0,5,1,4,2,2,3,5,2,0,0,0.7284860623573817,0.8938637224169468,2.484647381479141,0.5486812828696312,0.7540042265921902,2.0506576008184476,0
93,0,1,0,7,0,1,3,3,3,1,1,1,1,-0.7422068122075504,-1.3328585667991675,0.5350220219972727,1.1456170562896437,1.5400937394223462,-0.8925587108399401,0
94,0,2,1,2,1,3,4,3,1,1,4,1,0,-0.5321078301268457,-0.5562041118670981,-0.8355529313151306,0.8093525353280433,-0.8181747990681216,-1.0151927238257064,0
95,1,2,0,0,0,3,4,3,4,2,3,2,2,1.8840304638012568,-1.3469368952873622,0.9045168880308124,-1.1800614534717366,-0.0320852862379657,-0.15675463292534317,0
96,0,2,2,4,1,2,2,1,3,1,2,1,1,1.1486840265187908,-1.0465992208725436,0.807035620056719,-1.0723898606959774,-0.0320852862379657,-0.27938864591110935,0
97,1,1,0,2,1,1,1,3,1,2,2,2,0,0.3082880981959725,1.2082797253199598,-0.5956439424687091,-1.1598381620825073,0.7540042265921902,-0.8925587108399401,0
98,0,1,2,2,0,3,1,3,1,7,2,3,0,-0.7422068122075504,0.9924120218343091,-0.6761973255850259,0.28131542360650885,0.49197438898213824,-0.15675463292534317,0
99,0,2,2,6,1,3,3,2,1,1,3,1,1,-0.9523057942882549,0.8633606773591919,-0.8824451181050638,-1.5733696032484739,-0.5561449614580697,-0.769924697854174,0
100,0,0,2,7,0,3,4,3,3,1,3,1,1,0.41333758923632485,0.8633606773591919,0.09314585519254981,-1.666257272663831,-1.0802046366781737,1.8053895748469153,0
101,0,0,0,4,1,2,1,1,2,4,4,4,1,1.9890799548416092,0.4269324942251589,-0.7071344944630316,1.0182800560250476,2.0641534146424503,0.33378141901772146,0
102,0,0,2,4,0,3,2,3,2,4,2,2,0,0.5183870802766771,0.41285416573696426,-0.27148467611174376,0.78717665028744,-0.0320852862379657,-1.0151927238257064,0
103,1,1,2,7,0,3,1,3,2,3,2,3,3,-1.2674542674093117,0.5325199578866184,-0.36643649002662915,1.090526021125881,0.7540042265921902,0.9469514839465522,0
104,1,1,2,5,0,4,3,4,2,3,5,3,1,0.3082880981959725,-0.5069299621584169,-0.07496555305019813,1.1055888864364793,2.0641534146424503,-0.8925587108399401,0
105,1,1,2,0,0,3,3,3,2,3,3,3,0,-0.2169593570057889,-0.5749752165180242,-0.4808456428584993,0.13138412537601504,1.2780639018122941,-0.4020226588968755,0
106,1,2,2,6,0,3,4,2,1,6,5,1,1,-1.0573552853286072,0.20871840265814243,-0.8262134086349779,-0.8941459545205624,-1.0802046366781737,0.21114740603195528,0
107,1,1,2,4,0,1,1,2,1,1,2,1,0,-1.687652231570721,0.6404538096294439,-0.8236839545757699,1.7234453061212118,1.8021235770323982,-0.034120619939577025,0
108,0,1,2,2,1,2,3,3,2,4,5,0,0,1.5688819906802,-0.23240255663862205,0.5597328424218433,-1.3143720024912395,-0.5561449614580697,-0.8925587108399401,1
109,0,2,2,3,0,4,3,3,5,5,1,0,0,0.3082880981959725,1.6235904157217007,0.8154022757910224,-0.5177137927306994,0.7540042265921902,0.08851339304618913,0
110,0,2,2,6,0,1,1,1,1,1,2,1,1,-1.4775532494900163,-1.5088376729016,-0.9122148466480504,1.4631924665880942,2.3261832522525023,0.824317470960786,0
111,0,2,2,6,0,2,4,3,1,4,3,2,2,-0.32200884804614116,-0.7673790391900173,-0.7168631639215239,-1.0015386053461255,-0.0320852862379657,-1.0151927238257064,0
112,1,1,0,7,0,3,1,4,2,4,4,4,4,-0.1119098659654366,-0.9058159359905976,-0.13100268913111413,0.49428760258135906,-0.8181747990681216,-0.769924697854174,0
113,0,2,2,6,0,4,1,3,1,1,2,1,1,-1.0573552853286072,1.1918550087503994,-0.43687205690611386,-0.6740607558157073,1.5400937394223462,-0.8925587108399401,0
114,0,2,0,7,1,2,1,2,2,5,3,0,0,0.833535553397734,0.7554268256163664,-0.27187382289008344,-0.7086495576400446,-0.5561449614580697,-0.034120619939577025,0
115,0,1,0,4,0,3,3,3,2,1,5,1,1,-0.8472563032479026,1.4335329811310735,-0.4144961171515814,0.6538423980936241,-0.5561449614580697,1.4374875358896169,0
116,0,0,2,5,0,3,4,3,3,3,2,3,3,1.0436345354784387,1.5555451613620934,1.6047865156530923,1.187458348819084,-0.0320852862379657,-0.27938864591110935,0
117,1,1,2,6,0,1,4,2,1,1,4,1,0,-0.7422068122075504,0.18290813376311896,-0.6713329908557797,0.0679248317063642,-0.2941151238480177,0.824317470960786,0
118,0,0,2,6,1,3,2,3,1,1,2,1,1,-0.4270583390864935,-0.3051405871609609,-0.8190141932356937,-1.0591401180616546,-1.0802046366781737,0.33378141901772146,0
119,1,0,2,2,0,2,4,2,1,2,3,2,0,-0.7422068122075504,1.236436382296349,-0.7474111860211898,0.07280631583479888,-0.0320852862379657,-1.0151927238257064,0
120,0,1,1,5,0,3,2,3,4,0,2,0,0,1.9890799548416092,-0.8377706816309903,0.9259199608394956,0.9952673451338555,-1.0802046366781737,-0.6472906848684078,0
121,1,0,2,2,0,4,2,3,1,1,2,1,0,-0.8472563032479026,-0.21597784006906168,-0.9155225942639378,0.47894579532056436,-0.8181747990681216,-0.5246566718826416,0
122,0,1,2,2,0,3,4,4,1,1,2,0,0,-1.1624047763689596,-1.1005661467439565,-0.8229056610190906,-1.180340395421933,-0.8181747990681216,0.08851339304618913,0
123,0,2,2,7,0,2,2,2,2,3,4,3,0,1.3587830085994954,0.48324580817793733,-0.3316078533652265,-0.665274084384525,-1.0802046366781737,1.1922195099180846,0
124,0,1,2,2,1,2,4,3,1,1,4,1,1,0.6234365713170295,-0.48815885750749083,-0.7588910159822109,-1.0789449965255897,-1.0802046366781737,-0.4020226588968755,0
125,1,0,2,3,0,3,3,3,4,2,2,2,0,0.3082880981959725,0.5090560770729607,2.412460654097128,-0.9846626173592513,-0.5561449614580697,1.3148535229038507,0
126,1,1,2,6,0,1,4,1,1,0,5,0,0,-1.0573552853286072,-0.6031318734944134,-0.8546211234537757,-1.012696283353976,1.0160340642022423,1.560121548875383,0
127,1,1,2,0,0,1,3,3,3,2,4,2,2,0.5183870802766771,1.7174459389763315,0.743410121798179,-1.50042628327215,-0.8181747990681216,-0.15675463292534317,0
128,0,2,2,4,0,2,2,1,2,3,2,2,2,-0.7422068122075504,0.6005652122462257,-0.13917477147624768,-0.26317926317660534,-0.2941151238480177,1.0695854969323184,0
129,0,0,0,2,1,3,3,3,1,1,3,0,0,-1.5826027405303686,1.4874999070024861,-0.7524700941396059,0.31980941273359376,-0.8181747990681216,-0.8925587108399401,0
130,1,0,1,7,0,2,2,3,2,1,5,1,1,-0.637157321167198,-1.529955165633892,-0.4394015109653219,-0.3589958230690232,-0.5561449614580697,2.1732916138042135,1
131,0,0,2,5,0,3,4,3,2,1,1,1,1,-0.2169593570057889,-1.38682549267058,-0.07126865865597104,1.00837761679308,-0.5561449614580697,-0.8925587108399401,0
132,1,1,2,7,1,3,4,3,2,1,2,0,0,-1.8977512136514254,0.72023100439588,-0.14112050536794615,0.11269501471286514,0.22994455137208628,-0.15675463292534317,1
133,0,1,2,4,0,2,3,3,2,3,6,3,1,-1.0573552853286072,0.15709786486809552,-0.4230573462750547,1.0511952061482073,-0.5561449614580697,-0.769924697854174,0
134,0,2,1,2,0,4,3,3,1,4,2,2,2,-0.637157321167198,-0.6524060232030946,-0.905015631248766,0.24728450568256422,1.8021235770323982,-0.27938864591110935,0
135,0,0,2,3,0,3,3,3,5,2,3,2,1,0.3082880981959725,-1.2483885958699998,2.265946892052233,1.1174439193198207,-1.0802046366781737,0.7016834579750199,0
136,1,1,2,6,0,4,3,3,1,1,4,1,0,-0.8472563032479026,0.49732413666613196,-0.9172737547664664,-1.2655571612068928,0.49197438898213824,-1.0151927238257064,0
137,1,0,0,2,0,3,3,3,2,1,5,1,1,-0.006860374925084314,0.3823511206792093,-0.371689971534215,-0.03151797353860517,0.49197438898213824,-0.6472906848684078,0
138,1,2,2,6,0,2,3,2,1,0,2,0,0,0.20323860715562025,0.4480499869574508,-0.8349692111476211,1.1634693411022048,-0.2941151238480177,-1.0151927238257064,0
139,1,2,0,2,1,3,3,2,1,1,5,0,0,-1.0573552853286072,-0.708719337155873,-1.0993944470294434,-0.10097451913747578,-0.8181747990681216,-0.034120619939577025,1
140,1,1,2,7,1,3,3,4,2,2,1,2,0,-0.9523057942882549,-1.459563523192919,-0.4931037663761997,1.3464552604309563,1.0160340642022423,1.3148535229038507,0
141,1,2,1,7,1,4,4,3,2,2,3,2,2,0.09818911611526797,0.6052579884089573,-0.385699255554444,-0.11408479079670036,-0.2941151238480177,1.1922195099180846,1
142,0,0,0,2,0,3,1,2,1,1,2,0,0,-0.8472563032479026,-0.8800056670955742,-0.7693979789973826,0.19735389659743233,-1.0802046366781737,1.1922195099180846,1
143,1,1,2,7,0,3,2,3,2,2,3,2,2,-0.006860374925084314,1.5508523851993619,-0.2473575758546827,-0.7697378447330272,0.7540042265921902,1.0695854969323184,0
144,0,1,2,7,0,3,2,3,3,2,2,2,2,0.3082880981959725,1.2223580538081544,0.7597542864884461,0.6259482030739973,-0.2941151238480177,-1.0151927238257064,0
145,1,1,2,2,1,4,4,4,2,1,5,1,1,0.5183870802766771,-1.529955165633892,-0.2514436170272495,-0.11045854544414888,0.22994455137208628,-0.4020226588968755,0
146,0,2,2,6,1,2,4,3,1,6,4,0,0,0.5183870802766771,-0.6007854854130477,-0.6331966065784896,0.8896878169845683,-0.8181747990681216,1.8053895748469153,0
147,0,1,2,4,1,2,1,3,3,4,2,4,0,-0.8472563032479026,0.7624659898604638,0.4883244085965094,0.7311093182979902,1.5400937394223462,-0.6472906848684078,0
148,0,2,1,4,0,4,3,2,3,3,2,3,0,1.4638324996398477,-1.2178855508122448,0.674725715421223,-0.2852156772421105,1.5400937394223462,-0.6472906848684078,0
149,0,1,2,2,0,1,4,2,1,0,2,0,0,-1.0573552853286072,0.15240508870536398,-0.5483626089004362,1.7234453061212118,0.49197438898213824,-0.8925587108399401,1
150,0,2,2,8,1,2,2,4,1,0,4,0,0,0.833535553397734,0.4715138677711085,-0.8789427971000066,0.05104884371949001,-0.5561449614580697,-0.8925587108399401,0
151,0,1,0,7,0,3,4,3,2,0,2,0,0,0.09818911611526797,1.1026922616585002,-0.4096317824223352,0.37127420254480514,1.0160340642022423,-0.8925587108399401,0
152,0,2,2,3,1,3,4,3,4,3,5,3,0,2.0941294458819613,1.248168322703178,1.9468465338136836,-0.005855314120548562,-1.0802046366781737,-0.8925587108399401,0
153,0,1,2,0,0,4,2,3,3,2,2,2,2,0.5183870802766771,-0.44123109588017545,0.4256717772838186,0.13668402242974415,-0.8181747990681216,0.5790494449892537,0
154,0,1,2,2,0,2,2,3,2,0,1,0,0,0.9385850444380863,-1.0207889519775202,-0.4479627400887951,0.5764360069141599,0.7540042265921902,-1.0151927238257064,0
155,0,1,2,6,1,4,3,3,2,3,3,3,3,-0.7422068122075504,1.065150052356648,-0.26292344698827047,-0.21785119626971186,-0.2941151238480177,-0.5246566718826416,0
156,0,2,2,4,0,1,3,2,3,1,6,1,1,0.833535553397734,0.8070473634064134,1.3703255817034266,0.5376630758368787,1.5400937394223462,-0.8925587108399401,0
157,1,1,2,7,0,4,4,3,2,8,2,2,1,-0.7422068122075504,-0.9034695479092318,0.018624247140498346,0.9735098730185466,-0.2941151238480177,2.29592562678998,1
