,Gender,MaritalStatus,Travelling,Vertical,Education,Role,OverTime,Age,Turnover,Qualifications,Satisfaction,Engagement,Level,Daily,Hour,Monthly,MonthlyRate,Work Experience,SalaryHike,Last Rating,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
43,0,1,1,2,2,7,0,56,0,4,4,3,4,618,35,17630,2243,1,22,4,3,2,1,1,0,1,18
44,0,1,0,1,1,2,0,25,0,3,4,3,1,927,30,2481,12569,1,16,3,2,4,1,1,0,1,27
45,0,1,2,2,5,3,0,50,0,4,3,3,4,167,50,19717,26933,4,11,3,1,3,4,4,4,4,8
46,0,0,2,1,3,2,0,37,0,4,3,3,2,1287,86,4959,6242,1,15,3,2,3,1,1,1,1,21
47,0,1,2,1,4,0,0,32,0,4,3,3,2,907,43,7481,26583,1,17,3,2,3,1,1,1,1,7
48,0,2,0,0,3,2,0,37,1,2,3,2,1,109,40,2386,5100,1,15,3,2,3,1,1,1,1,3
49,1,1,1,1,5,6,0,41,0,2,4,4,1,880,90,3107,10074,2,12,3,3,2,0,0,0,0,3
50,1,0,1,1,1,6,0,21,0,4,1,2,2,653,32,5008,19470,4,22,4,3,2,4,2,0,3,1
51,0,2,0,1,3,2,0,54,1,4,1,4,1,452,32,2374,13928,1,14,3,2,4,1,1,1,1,1
52,0,1,2,1,1,3,1,31,0,3,1,3,4,600,55,14495,15605,4,11,3,2,2,4,3,2,3,5
53,0,0,1,1,3,6,0,31,1,4,4,3,1,510,62,2401,4978,8,17,3,5,3,4,2,0,2,1
54,0,0,2,1,3,0,0,46,0,5,2,3,1,231,94,2527,22870,0,12,3,2,2,0,0,0,0,13
55,0,2,2,2,2,7,1,32,0,2,1,3,3,697,87,19717,14087,0,11,3,6,2,0,0,0,0,5
56,1,1,0,2,3,7,0,24,0,4,4,3,2,1151,91,4301,2252,2,16,3,5,3,2,2,0,2,22
57,0,2,2,1,3,4,1,48,0,3,3,3,2,1315,99,5197,4295,3,11,3,3,1,3,3,3,3,2
58,1,1,2,1,3,3,1,41,0,1,4,3,5,320,74,13346,19047,2,14,3,3,3,2,2,2,2,22
59,1,0,2,1,3,2,0,30,0,2,3,4,2,115,68,2432,12836,5,12,3,0,3,5,0,0,0,1
60,0,1,2,1,1,5,1,45,0,3,3,2,3,382,80,10845,9032,1,25,4,2,3,1,1,1,1,13
61,0,1,0,1,1,4,0,32,0,3,4,3,2,440,79,5114,23334,1,13,3,2,2,1,1,0,1,25
62,0,2,2,2,2,8,1,18,0,5,3,3,1,1495,58,4879,26933,1,12,3,2,3,1,1,1,1,9
63,0,1,2,1,1,0,0,40,0,2,3,3,3,295,37,7833,19133,2,16,3,2,3,2,2,2,2,21
64,0,1,0,0,1,1,0,31,0,4,4,4,2,505,76,4871,15814,1,17,3,3,4,1,1,0,0,15
65,0,2,2,1,1,0,0,23,0,3,1,2,2,743,41,4520,26897,3,13,3,0,3,2,2,2,2,28
66,1,2,2,1,1,3,1,48,0,4,4,3,5,557,97,19589,17433,2,13,3,4,4,2,2,2,2,2
67,1,1,1,1,3,2,0,49,0,4,1,4,4,1198,73,3448,12026,2,12,3,2,3,2,2,2,1,28
68,0,2,0,1,1,6,0,26,1,2,3,2,1,1341,68,4270,7802,0,21,4,3,3,0,0,0,0,1
69,0,2,0,1,1,2,0,24,0,3,4,3,1,457,95,2883,14153,1,18,3,4,3,1,1,1,1,1
70,0,0,0,1,1,4,1,45,0,2,2,2,2,185,44,4364,9340,2,22,4,0,3,2,2,0,2,1
71,1,2,2,2,1,7,0,33,0,3,1,3,2,1255,86,4621,17534,1,13,3,3,3,1,1,1,1,2
72,0,2,1,1,3,2,0,31,0,3,4,2,1,418,73,3047,26174,3,12,3,2,2,3,3,0,3,5
73,1,2,2,1,1,0,0,50,0,4,3,3,2,812,64,4711,22878,7,25,4,3,4,0,0,0,5,2
74,1,0,2,1,5,6,0,34,0,3,3,2,2,1328,43,5520,9984,6,11,3,0,3,5,1,1,2,8
75,1,1,2,1,1,2,0,44,0,1,4,3,1,167,32,2189,15984,3,14,3,3,3,3,2,0,2,1
76,1,0,1,1,3,4,0,55,0,2,3,3,2,276,47,4245,7521,1,21,4,0,2,1,1,1,1,19
77,0,2,2,1,5,2,0,37,0,3,3,3,1,609,33,2082,9268,1,14,3,3,2,1,1,1,1,24
78,0,1,2,2,3,7,0,33,0,2,4,3,4,518,67,19845,22716,7,23,4,4,3,7,7,7,7,5
79,0,0,2,1,3,4,0,29,0,4,1,3,2,1227,41,1509,25597,3,11,3,1,3,3,3,0,1,20
80,0,1,2,1,1,6,0,27,0,1,3,3,1,1269,31,2846,18567,5,11,3,3,3,3,2,1,2,6
81,0,2,0,2,2,7,0,49,0,2,1,3,2,826,51,4540,10480,0,13,3,6,3,0,0,0,0,2
82,0,1,2,1,3,4,0,36,0,3,2,3,1,1436,81,2171,7131,0,13,3,2,1,0,0,0,0,27
83,1,0,2,1,1,2,1,27,0,1,3,1,1,1049,62,3527,26897,0,23,4,6,1,0,0,0,0,2
84,0,2,2,1,3,4,0,45,0,4,2,2,2,1318,77,6885,16874,1,11,3,5,4,1,1,0,1,2
85,0,1,0,2,1,7,0,34,0,1,3,3,2,109,44,6067,13915,1,15,3,3,3,1,1,1,1,20
86,0,1,2,2,1,8,1,31,1,1,3,3,1,212,42,3164,15087,3,23,4,2,4,1,0,0,0,17
87,0,2,0,1,1,6,1,24,1,4,3,2,1,464,62,2650,26933,1,23,4,2,4,1,0,0,0,15
88,0,1,2,0,5,1,1,25,0,3,2,3,2,1257,44,4249,23387,1,11,3,4,3,1,1,1,1,1
89,0,1,2,2,1,7,1,31,0,3,3,3,2,720,74,5975,5157,3,11,3,1,3,3,3,1,3,3
90,0,1,2,2,3,8,1,28,0,3,3,4,1,480,86,2445,26475,1,25,4,2,3,1,0,0,0,2
91,0,1,2,0,1,0,0,39,0,4,4,3,2,1078,45,5322,17279,1,13,3,3,2,1,1,0,1,29
92,1,1,0,1,1,5,1,44,0,4,2,2,3,1144,51,19522,18474,5,18,3,2,3,5,0,0,5,26
93,0,1,0,2,0,7,0,30,0,1,3,3,3,195,41,9502,22754,1,21,4,1,3,1,1,1,1,2
94,0,2,1,1,1,2,1,32,0,3,4,3,1,526,57,2458,20343,1,12,3,4,3,1,1,0,1,1
95,1,2,0,1,4,0,0,55,0,3,4,3,4,189,81,11401,6079,2,15,3,3,3,2,2,2,2,8
96,0,2,2,1,3,4,1,48,0,2,2,1,3,317,73,10900,6851,1,15,3,2,2,1,1,1,1,7
97,1,1,0,1,4,2,1,40,0,1,1,3,1,1278,50,3691,6224,2,18,3,2,2,2,2,0,2,2
98,0,1,2,1,1,2,0,30,0,3,1,3,1,1186,52,3277,16557,7,17,3,2,2,5,3,0,2,8
99,0,2,2,1,1,6,1,28,0,3,3,2,1,1131,54,2217,3259,1,13,3,3,2,1,1,1,1,3
100,0,0,2,2,3,7,0,41,0,3,4,3,3,1131,62,7231,2593,1,11,3,3,4,1,1,1,1,24
101,0,0,0,1,1,4,1,56,0,2,1,1,2,945,30,3118,21841,4,23,4,4,2,4,4,1,2,12
102,0,0,2,1,4,4,0,42,0,3,2,3,2,939,35,5357,20184,4,15,3,2,4,4,2,0,3,1
103,1,1,2,2,1,7,0,25,0,3,1,3,2,990,41,4869,22359,3,18,3,2,4,3,3,3,2,17
104,1,1,2,1,3,5,0,40,0,4,3,4,2,547,72,6367,22467,3,23,4,5,3,3,3,1,2,2
105,1,1,2,1,1,0,0,35,0,3,3,3,2,518,96,4281,15482,3,20,4,3,3,3,3,0,3,6
106,1,2,2,1,3,6,0,27,0,3,4,2,1,852,31,2506,8129,6,11,3,5,3,1,1,1,0,11
107,1,1,2,1,3,4,0,21,0,1,1,2,1,1036,59,2519,26897,1,22,4,2,2,1,1,0,1,9
108,0,1,2,1,3,2,1,52,1,2,3,3,2,664,32,9629,5116,4,13,3,5,3,1,0,0,0,2
109,0,2,2,2,2,3,0,40,0,4,3,3,5,1455,66,10943,10828,5,18,3,1,2,1,0,0,0,10
110,0,2,2,1,1,6,0,23,0,1,1,1,1,120,90,2064,25031,1,24,4,2,2,1,1,1,1,16
111,0,2,2,1,1,6,0,34,0,2,4,3,1,436,57,3068,7359,4,15,3,3,4,3,2,2,3,1
112,1,1,0,2,3,7,0,36,0,3,1,4,2,377,49,6079,18084,4,12,3,4,2,4,4,4,4,3
113,0,2,2,0,3,6,0,27,0,4,1,3,1,1271,97,4507,9707,1,21,4,2,3,1,1,1,1,2
114,0,2,0,2,4,7,1,45,0,2,1,2,2,1085,78,5355,9459,5,13,3,3,3,1,0,0,0,9
115,0,1,0,1,3,4,0,29,0,3,3,3,2,1374,41,4622,19228,1,13,3,5,2,1,1,1,1,21
116,0,0,2,1,1,5,0,47,0,3,4,3,3,1426,75,15000,23054,3,15,3,2,3,3,3,3,3,7
117,1,1,2,1,3,6,0,30,0,1,4,2,1,841,74,3302,15027,1,14,3,4,3,1,1,0,1,16
118,0,0,2,1,1,6,1,33,0,3,2,3,1,633,48,2543,6946,1,11,3,2,3,1,1,1,1,12
119,1,0,2,1,1,2,0,30,0,2,4,2,1,1290,39,2911,15062,2,15,3,3,2,2,2,0,2,1
120,0,1,1,1,1,5,0,56,0,3,2,3,4,406,54,11511,21676,0,11,3,2,3,0,0,0,0,4
121,1,0,2,1,3,2,0,29,0,4,2,3,1,671,71,2047,17974,1,12,3,2,3,1,1,0,1,5
122,0,1,2,1,5,2,0,26,0,3,4,4,1,294,55,2523,6077,1,12,3,2,2,1,0,0,1,10
123,0,2,2,2,1,7,0,50,0,2,2,2,2,969,79,5048,9770,3,11,3,4,3,3,3,0,3,19
124,0,1,2,1,1,2,1,43,0,2,4,3,1,555,89,2852,6804,1,11,3,4,3,1,1,1,1,6
125,1,0,2,2,2,3,0,40,0,3,3,3,4,980,91,19151,7480,2,13,3,2,3,2,2,0,2,20
126,1,1,2,1,3,6,0,27,0,1,4,1,1,506,70,2360,7279,0,19,3,5,3,0,0,0,0,22
127,1,1,2,1,3,0,0,42,0,1,3,3,3,1495,62,10573,3782,2,12,3,4,3,2,2,2,2,8
128,0,2,2,1,3,4,0,30,0,2,2,1,2,1019,38,6037,12653,3,14,3,2,1,3,2,2,3,18
129,0,0,0,1,1,2,1,22,0,3,3,3,1,1397,73,2885,16833,1,12,3,3,3,0,0,0,0,2
130,1,0,1,2,1,7,0,31,1,2,2,3,2,111,96,4494,11966,1,13,3,5,4,1,1,1,1,27
131,0,0,2,1,1,5,0,35,0,3,4,3,2,172,67,6386,21770,1,13,3,1,3,1,1,1,1,2
132,1,1,2,2,1,7,1,19,1,3,4,3,2,1070,69,6027,15348,1,16,3,2,1,0,0,0,0,8
133,0,1,2,1,3,4,0,27,0,2,3,3,2,830,61,4578,22077,3,13,3,6,3,3,3,1,3,3
134,0,2,1,1,5,2,0,31,0,4,3,3,1,485,36,2101,16313,4,22,4,2,3,4,2,2,0,7
135,0,0,2,1,1,3,0,40,0,3,3,3,5,231,98,18398,22552,2,11,3,3,3,2,2,1,2,15
136,1,1,2,1,1,6,0,29,0,4,3,3,1,975,65,2038,5466,1,17,3,4,3,1,1,0,1,1
137,1,0,0,1,5,2,0,37,0,3,3,3,2,926,44,4842,14314,1,17,3,5,3,1,1,1,1,4
138,1,2,2,1,5,6,0,39,0,2,3,2,1,954,30,2461,22882,0,14,3,2,4,0,0,0,0,1
139,1,2,0,1,1,2,1,27,1,3,3,2,1,461,75,1102,13816,1,12,3,5,3,1,0,0,0,9
140,1,1,2,2,3,7,1,28,0,3,3,4,2,141,45,4218,24194,2,19,3,1,2,2,2,0,2,20
141,1,2,1,2,2,7,1,38,1,4,4,3,2,1021,34,4770,13722,2,14,3,3,3,2,2,2,2,19
142,0,0,0,1,1,2,0,29,1,3,1,2,1,388,75,2798,15955,1,11,3,2,3,1,0,0,0,19
143,1,1,2,2,2,7,0,37,0,3,2,3,2,1424,35,5481,9021,2,18,3,3,2,2,2,2,2,18
144,0,1,2,2,2,7,0,40,0,3,2,3,3,1284,62,10657,19028,2,14,3,2,3,2,2,2,2,1
145,1,1,2,1,1,2,1,42,0,4,4,4,2,111,59,5460,13748,1,16,3,5,3,1,1,1,1,6
146,0,2,2,1,5,6,1,42,0,2,4,3,1,507,50,3498,20919,6,12,3,4,2,0,0,0,5,24
147,0,1,2,1,1,4,1,29,0,2,1,3,3,1088,78,9262,19782,4,21,4,2,2,4,4,0,4,4
148,0,2,1,0,1,4,0,51,0,4,3,2,3,244,66,10220,12495,3,21,4,2,4,3,3,0,3,4
149,0,1,2,1,3,2,0,27,1,1,4,2,1,828,66,3934,26897,0,17,3,2,4,0,0,0,0,2
150,0,2,2,2,2,8,1,45,0,2,2,4,1,964,79,2235,14906,0,13,3,4,3,0,0,0,0,2
151,0,1,0,2,3,7,0,38,0,3,4,3,2,1233,51,4647,17202,0,19,3,2,2,0,0,0,0,2
152,0,2,2,2,1,3,1,57,0,3,4,3,4,1295,37,16758,14498,3,11,3,5,3,3,3,0,0,2
153,0,1,2,1,4,0,0,42,0,4,2,3,3,575,81,8940,15520,2,12,3,2,3,2,2,2,2,14
154,0,1,2,1,1,2,0,46,0,2,2,3,2,328,63,4450,18673,0,18,3,1,3,0,0,0,0,1
155,0,1,2,1,3,6,1,30,0,4,3,3,2,1217,42,5401,12978,3,14,3,3,2,3,3,3,3,5
156,0,2,2,1,1,4,0,45,0,1,3,2,3,1107,31,13795,18395,1,21,4,6,3,1,1,1,1,2
157,1,1,2,2,2,7,0,30,1,4,4,3,2,378,30,6848,21520,8,14,3,2,3,6,2,1,6,28
158,0,2,0,1,5,2,1,37,0,3,2,2,2,1293,68,1230,16131,1,19,3,3,3,1,0,0,0,10
159,1,0,2,1,0,5,1,41,0,4,3,3,4,951,80,13367,20867,9,13,3,2,3,7,7,0,4,17
160,1,1,2,1,1,0,0,34,0,2,1,3,3,1253,52,1534,23938,2,23,4,4,3,2,2,1,2,3
161,1,1,2,2,2,7,0,31,0,1,4,3,2,1043,56,5717,13296,1,13,3,3,3,1,1,0,1,1
162,1,0,1,1,1,2,1,31,1,4,2,4,1,1216,45,3821,9972,9,17,3,4,4,9,7,0,7,7
163,0,0,2,1,3,0,0,38,0,4,3,3,2,236,41,5587,26647,0,14,3,2,2,0,0,0,0,14
164,1,1,2,1,5,6,1,40,0,2,3,3,1,510,62,3033,3842,8,20,4,1,4,1,0,0,0,9
165,0,1,2,1,3,3,0,26,0,3,3,2,4,930,86,15709,25543,7,13,3,6,2,7,7,0,7,2
166,1,1,1,2,1,8,0,30,0,1,3,3,1,430,94,4681,15493,3,11,3,3,3,3,3,1,0,26
167,0,1,2,2,1,8,0,26,0,4,3,3,1,268,45,2252,26933,1,25,4,3,1,1,1,0,1,1
168,0,0,1,0,1,4,0,36,0,1,3,2,2,790,71,6734,2227,5,14,3,2,4,3,2,1,5,3
169,1,2,2,1,3,2,0,40,0,3,2,3,1,425,55,3441,6767,5,14,3,3,4,5,1,1,1,27
170,1,1,2,1,1,0,0,32,0,4,3,3,3,1085,42,9417,3964,8,22,4,3,1,8,8,8,5,14
171,1,1,2,1,4,2,0,28,0,3,1,3,1,797,49,3860,14576,0,22,4,2,3,0,0,0,0,1
172,1,1,2,1,1,5,0,49,0,3,2,3,5,170,76,19779,10983,3,15,4,0,3,1,1,1,3,1
173,1,2,2,1,3,5,0,42,0,3,3,3,4,250,70,13252,8430,2,15,3,2,2,2,0,0,2,2
174,1,1,2,1,1,6,0,42,0,3,2,2,1,442,46,2900,26897,1,18,3,2,3,1,1,1,0,1
175,0,2,2,1,3,0,0,48,0,4,1,2,2,461,84,4099,16810,1,11,3,4,3,1,1,1,1,5
176,1,1,0,2,0,8,1,32,1,3,2,4,1,438,73,2311,8932,4,18,3,4,1,4,3,1,4,17
177,0,2,2,1,4,2,0,23,0,2,2,3,1,516,31,4960,18420,1,13,3,2,4,1,1,1,1,18
178,1,2,2,1,3,2,0,37,0,4,3,2,1,1000,50,2200,14160,0,16,3,5,3,0,0,0,0,29
179,1,0,0,2,2,7,1,39,0,2,4,2,2,1135,88,5786,2380,1,13,3,3,3,1,1,1,1,2
180,0,2,2,2,1,7,0,44,1,4,1,3,4,381,51,10367,13746,2,11,3,2,3,2,2,2,0,1
181,0,0,1,0,1,5,0,50,0,4,3,3,4,546,87,18121,26862,4,11,3,2,3,3,1,1,2,8
182,1,0,2,1,1,2,1,41,1,2,3,3,3,109,99,5040,22207,4,11,3,1,3,4,4,1,4,9
183,0,1,1,2,1,7,0,35,0,4,2,3,2,1154,63,9693,23239,0,15,3,2,3,0,0,0,0,16
184,1,1,2,1,3,6,0,35,0,2,3,3,1,1090,45,4139,17186,1,15,3,6,2,1,1,0,1,14
185,1,1,0,1,5,4,0,56,1,4,4,3,2,854,32,6694,22239,2,18,3,4,3,2,2,0,2,29
186,1,2,1,1,3,2,0,25,1,3,4,2,1,203,58,2679,25158,0,16,3,4,3,0,0,0,0,7
187,1,2,0,1,1,3,0,49,0,1,3,3,3,661,92,14243,14680,3,20,4,5,4,3,3,1,0,26
188,1,1,2,1,3,5,0,43,0,3,3,3,3,964,47,10417,12387,2,14,3,1,1,1,1,0,0,15
189,0,2,0,2,1,7,0,32,0,1,2,3,2,1411,89,6145,19474,1,21,4,3,3,1,0,0,0,10
190,0,2,2,1,3,4,0,30,0,2,4,2,2,331,97,6887,6559,4,12,3,3,3,4,3,1,2,9
191,0,0,2,1,1,4,0,30,0,3,3,3,3,808,89,10371,23124,1,18,3,5,3,1,1,1,1,17
192,0,1,2,2,2,7,0,29,1,2,2,3,3,1304,98,9000,25861,1,14,3,2,3,1,1,1,1,9
193,0,1,1,2,1,7,0,29,0,1,1,3,2,1149,84,9234,14079,1,11,3,2,4,1,1,0,1,13
194,0,1,2,1,3,0,0,46,0,1,1,2,3,325,74,11169,13194,1,22,4,2,3,1,1,1,1,17
195,0,2,2,2,3,8,1,28,1,3,3,2,1,882,80,2220,18250,1,13,3,3,3,1,1,1,0,1
196,1,1,2,1,1,2,0,32,0,3,4,4,2,619,62,9790,9318,1,14,3,2,3,1,1,1,1,6
197,1,1,0,1,3,6,1,51,0,3,3,2,1,1130,78,2327,22308,5,25,4,5,4,5,4,0,0,18
198,0,1,1,2,1,7,1,30,0,5,4,3,2,240,36,5668,20742,1,13,3,5,3,1,1,1,1,7
199,0,0,2,2,1,7,0,30,0,4,3,3,2,394,51,5596,21864,4,11,3,2,3,2,2,2,2,16
200,0,1,2,1,1,5,1,42,0,3,2,3,4,1336,95,10455,22282,6,11,3,2,3,6,3,0,6,2
201,1,1,2,2,1,7,0,54,0,4,2,3,2,330,81,4492,2988,1,12,3,2,2,1,1,1,1,28
202,1,1,2,1,5,6,1,40,0,4,1,3,2,310,35,4445,26894,1,15,3,3,1,1,1,1,1,2
203,1,1,2,1,3,4,0,45,0,4,3,2,4,1419,80,13105,6173,2,11,3,1,3,2,2,2,2,17
204,1,0,2,1,4,2,0,34,0,2,1,4,1,1441,75,2975,5095,6,14,3,3,3,1,0,0,0,4
205,1,1,2,1,4,2,0,33,0,4,4,3,1,1126,71,3909,24123,1,11,3,3,3,1,1,0,1,8
206,1,1,2,2,2,7,0,45,0,3,3,3,2,185,75,6140,9232,0,15,3,3,3,0,0,0,0,2
207,1,1,0,1,3,2,0,35,0,4,4,4,1,1158,45,2024,17091,1,12,3,3,2,1,0,0,0,1
208,0,1,2,2,1,7,0,29,0,1,2,2,3,1335,39,8957,10553,3,13,3,3,1,3,3,0,2,9
209,0,2,2,1,3,2,0,37,0,3,4,3,1,1326,52,4601,2125,1,13,3,5,3,1,1,1,1,8
210,1,1,2,1,5,6,0,26,0,2,4,4,1,960,38,2100,14721,1,11,3,2,3,1,1,0,0,1
211,0,1,0,0,3,2,1,50,0,3,4,4,2,1169,45,4088,16324,4,18,3,3,3,2,2,2,2,3
212,1,1,2,2,1,7,0,39,0,3,4,3,2,1495,52,4171,16527,2,14,3,6,2,2,2,1,2,7
213,1,2,2,1,1,2,0,34,1,2,3,2,1,527,64,2274,6578,1,13,3,3,3,1,1,1,1,7
214,1,0,2,1,1,0,0,37,0,3,3,2,3,912,93,9988,22776,5,13,3,3,3,5,5,5,5,4
215,0,1,2,1,1,2,0,45,0,4,3,2,1,878,86,2556,5449,5,18,3,3,2,3,2,0,1,15
216,0,1,2,1,5,2,0,42,0,3,3,2,1,1397,59,4034,9856,4,14,3,4,3,3,0,0,2,4
217,0,0,2,1,1,5,0,49,0,2,3,2,5,111,30,19833,20423,0,13,3,3,2,0,0,0,0,21
218,0,0,2,1,3,6,0,57,1,4,1,3,1,939,38,2009,23419,1,13,3,3,1,1,1,1,1,24
219,0,2,0,1,3,5,0,49,0,2,4,3,3,1236,34,19581,20605,2,15,3,5,3,2,2,1,2,2
220,0,0,2,2,4,7,0,39,1,2,1,2,3,1047,100,11713,8346,4,11,3,2,3,1,0,0,0,8
221,0,1,2,0,3,3,0,40,0,2,3,3,5,1174,80,13250,5159,2,17,3,2,4,2,2,2,2,2
222,1,1,2,2,0,7,1,50,0,3,4,3,3,363,73,3929,20147,1,14,3,3,3,1,1,1,1,14
223,0,1,0,1,1,6,0,40,0,3,4,3,2,913,61,2651,3233,4,21,4,3,3,4,3,2,1,9
224,1,1,2,2,2,3,0,52,0,4,3,4,5,461,94,19766,9738,2,16,3,4,1,2,0,0,2,6
225,1,0,2,2,2,7,1,30,0,1,1,3,3,521,90,19505,11560,1,21,4,3,3,1,1,0,1,21
226,0,1,2,1,3,6,0,28,0,4,3,3,1,1151,68,3279,16325,1,11,3,3,3,1,1,1,1,8
227,0,2,2,2,1,7,0,41,0,4,4,2,2,107,79,4887,18020,0,12,3,2,3,0,0,0,0,1
228,0,2,2,1,1,2,0,37,0,1,3,3,2,266,72,3107,22582,4,11,3,3,3,4,4,0,4,7
229,0,1,2,2,2,7,0,33,0,1,1,3,3,1138,32,8338,22491,1,12,3,4,3,1,1,1,1,2
230,0,2,0,2,3,7,1,29,1,3,3,2,2,309,37,8825,12818,1,12,3,3,3,1,1,1,1,25
231,0,2,2,1,5,4,1,48,0,3,2,2,3,872,65,17888,4656,4,24,4,2,3,4,3,3,4,2
232,0,1,2,2,3,8,0,38,0,3,3,2,1,1194,73,2371,8685,1,11,3,2,2,1,1,0,1,1
